Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion,BMI Category,Occupation,Sleep Duration,Physical Activity Level
30,Male,Twitter,90.0,5.0,20.0,25.0,30.0,Anger,Normal,Doctor,7.8,75
33,Male,LinkedIn,45.0,1.0,5.0,2.0,10.0,Boredom,Normal,Doctor,6.0,30
21,Male,Instagram,150.0,4.0,60.0,15.0,25.0,Happiness,Overweight,Software Engineer,6.1,42
31,Male,Instagram,170.0,5.0,80.0,20.0,35.0,Happiness,Normal,Doctor,6.1,30
34,Male,LinkedIn,65.0,1.0,12.0,4.0,15.0,Boredom,Normal,Doctor,6.1,30
28,Male,Twitter,100.0,6.0,40.0,23.0,28.0,Anger,Normal,Doctor,6.2,60
27,Male,Twitter,90.0,3.0,33.0,15.0,25.0,Sadness,Obese,Software Engineer,5.9,30
26,Male,Facebook,75.0,2.0,25.0,10.0,18.0,Anxiety,Overweight,Software Engineer,6.1,42
29,Male,LinkedIn,60.0,2.0,11.0,5.0,17.0,Boredom,Obese,Teacher,6.3,40
31,Male,Facebook,80.0,2.0,18.0,8.0,21.0,Neutral,Normal,Doctor,7.6,75
30,Male,Twitter,90.0,4.0,38.0,17.0,24.0,Anger,Normal,Doctor,7.8,75
28,Male,Instagram,145.0,5.0,75.0,20.0,35.0,Happiness,Normal,Doctor,6.2,60
29,Male,Facebook,65.0,2.0,22.0,8.0,20.0,Anxiety,Normal,Doctor,6.0,30
27,Male,Twitter,85.0,4.0,35.0,15.0,20.0,Anger,Obese,Software Engineer,5.9,30
31,Male,LinkedIn,45.0,1.0,6.0,2.0,9.0,Sadness,Normal,Doctor,7.6,75
29,Male,Twitter,95.0,4.0,40.0,20.0,22.0,Anger,Normal,Doctor,6.1,30
30,Male,Instagram,175.0,7.0,85.0,23.0,38.0,Happiness,Normal,Doctor,7.9,75
32,Male,Instagram,130.0,5.0,70.0,19.0,31.0,Neutral,Normal,Doctor,6.0,30
27,Male,Instagram,165.0,6.0,78.0,22.0,27.0,Happiness,Overweight,Software Engineer,6.1,42
31,Male,LinkedIn,60.0,1.0,10.0,3.0,17.0,Anxiety,Normal,Doctor,7.8,75
25,Male,Telegram,90.0,3.0,20.0,10.0,22.0,Boredom,Overweight,Software Engineer,6.1,42
27,Male,Facebook,60.0,1.0,10.0,4.0,15.0,Boredom,Overweight,Software Engineer,6.1,42
23,Male,Whatsapp,70.0,3.0,20.0,8.0,18.0,Anger,Normal,Doctor,6.2,60
25,Male,Twitter,90.0,6.0,40.0,12.0,26.0,Sadness,Overweight,Software Engineer,6.1,42
28,Male,Instagram,165.0,5.0,75.0,18.0,35.0,Happiness,Normal,Doctor,6.2,60
27,Male,Telegram,105.0,3.0,45.0,15.0,28.0,Anxiety,Normal,Doctor,6.2,60
